Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.57225
Mono	IC	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.54381
Mono	IC	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.54151
Mono	IC	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.54778
Mono	IC	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.56416
Mono	IC	Card	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.57462
Mono	IC	Card	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.5588
Mono	IC	Card	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.51496
Mono	IC	Card	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.52854
Mono	IC	Card	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.5572
Mono	IC	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.52422
Mono	IC	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.53027
Mono	IC	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.54396
Mono	IC	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.54099
Mono	IC	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.54735
Mono	IC	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.56805
Mono	IC	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.54372
Mono	IC	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.53844
Mono	IC	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.50632
Mono	IC	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.56057
Mono	IC	Card	0	RandomForestClassifier	CDDD	GeomRS	0.56954
Mono	IC	Card	1	RandomForestClassifier	CDDD	GeomRS	0.55016
Mono	IC	Card	3	RandomForestClassifier	CDDD	GeomRS	0.50747
Mono	IC	Card	4	RandomForestClassifier	CDDD	GeomRS	0.48375
Mono	IC	Card	2	RandomForestClassifier	CDDD	GeomRS	0.53202
Mono	IC	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.47117
Mono	IC	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.50281
Mono	IC	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.52988
Mono	IC	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.49644
Mono	IC	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.49558
Mono	IC	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.56387
Mono	IC	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.54363
Mono	IC	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.53539
Mono	IC	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.468
Mono	IC	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.55699
