Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.54567
Mono	IC	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.48759
Mono	IC	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.4749
Mono	IC	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.47941
Mono	IC	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.55217
Mono	IC	Card	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.54805
Mono	IC	Card	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.50349
Mono	IC	Card	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.43006
Mono	IC	Card	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.51038
Mono	IC	Card	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.54161
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.51378
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.50944
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.4697
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.51585
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.56589
Mono	IC	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.54499
Mono	IC	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.4288
Mono	IC	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.46269
Mono	IC	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.43998
Mono	IC	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.52201
Mono	IC	Card	0	RandomForestClassifier	Morgan	GeomRS	0.54456
Mono	IC	Card	1	RandomForestClassifier	Morgan	GeomRS	0.44666
Mono	IC	Card	3	RandomForestClassifier	Morgan	GeomRS	0.41664
Mono	IC	Card	4	RandomForestClassifier	Morgan	GeomRS	0.46682
Mono	IC	Card	2	RandomForestClassifier	Morgan	GeomRS	0.46587
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	GeomRS	0.49351
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	GeomRS	0.39498
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	GeomRS	0.40732
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	GeomRS	0.42395
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	GeomRS	0.50561
Mono	IC	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.54431
Mono	IC	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.37709
Mono	IC	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.45079
Mono	IC	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.4038
Mono	IC	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.49349
Mono	IC	Card	0	RandomForestClassifier	Morgan	HarmRS	0.54108
Mono	IC	Card	1	RandomForestClassifier	Morgan	HarmRS	0.39624
Mono	IC	Card	3	RandomForestClassifier	Morgan	HarmRS	0.40363
Mono	IC	Card	4	RandomForestClassifier	Morgan	HarmRS	0.42697
Mono	IC	Card	2	RandomForestClassifier	Morgan	HarmRS	0.40072
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	HarmRS	0.47404
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	HarmRS	0.30624
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	HarmRS	0.35322
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	HarmRS	0.34842
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	HarmRS	0.45176
Mono	IC	Cred	0	RandomForestClassifier	Morgan	F1 Score	0.61346
Mono	IC	Cred	1	RandomForestClassifier	Morgan	F1 Score	0.6268
Mono	IC	Cred	3	RandomForestClassifier	Morgan	F1 Score	0.5874
Mono	IC	Cred	4	RandomForestClassifier	Morgan	F1 Score	0.61042
Mono	IC	Cred	2	RandomForestClassifier	Morgan	F1 Score	0.68072
Mono	IC	Card	0	RandomForestClassifier	Morgan	F1 Score	0.6338
Mono	IC	Card	1	RandomForestClassifier	Morgan	F1 Score	0.63975
Mono	IC	Card	3	RandomForestClassifier	Morgan	F1 Score	0.54647
Mono	IC	Card	4	RandomForestClassifier	Morgan	F1 Score	0.64269
Mono	IC	Card	2	RandomForestClassifier	Morgan	F1 Score	0.70867
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	F1 Score	0.6432
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	F1 Score	0.67564
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	F1 Score	0.6436
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	F1 Score	0.67931
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	F1 Score	0.71952
Mono	IC	Cred	0	RandomForestClassifier	Morgan	ROC AUC	0.55355
Mono	IC	Cred	1	RandomForestClassifier	Morgan	ROC AUC	0.51487
Mono	IC	Cred	3	RandomForestClassifier	Morgan	ROC AUC	0.499
Mono	IC	Cred	4	RandomForestClassifier	Morgan	ROC AUC	0.48766
Mono	IC	Cred	2	RandomForestClassifier	Morgan	ROC AUC	0.57638
Mono	IC	Card	0	RandomForestClassifier	Morgan	ROC AUC	0.56752
Mono	IC	Card	1	RandomForestClassifier	Morgan	ROC AUC	0.53101
Mono	IC	Card	3	RandomForestClassifier	Morgan	ROC AUC	0.4459
Mono	IC	Card	4	RandomForestClassifier	Morgan	ROC AUC	0.50317
Mono	IC	Card	2	RandomForestClassifier	Morgan	ROC AUC	0.59684
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	ROC AUC	0.50623
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	ROC AUC	0.54348
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	ROC AUC	0.47301
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	ROC AUC	0.53419
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	ROC AUC	0.58153
Mono	IC	Cred	0	RandomForestClassifier	Morgan	MCC	0.08892
Mono	IC	Cred	1	RandomForestClassifier	Morgan	MCC	-0.02774
Mono	IC	Cred	3	RandomForestClassifier	Morgan	MCC	-0.04994
Mono	IC	Cred	4	RandomForestClassifier	Morgan	MCC	-0.04391
Mono	IC	Cred	2	RandomForestClassifier	Morgan	MCC	0.11059
Mono	IC	Card	0	RandomForestClassifier	Morgan	MCC	0.09431
Mono	IC	Card	1	RandomForestClassifier	Morgan	MCC	0.00782
Mono	IC	Card	3	RandomForestClassifier	Morgan	MCC	-0.13858
Mono	IC	Card	4	RandomForestClassifier	Morgan	MCC	0.02258
Mono	IC	Card	2	RandomForestClassifier	Morgan	MCC	0.09918
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	MCC	0.02798
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	MCC	0.02452
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	MCC	-0.06627
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	MCC	0.03889
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	MCC	0.15278
Mono	IC	Cred	0	RandomForestClassifier	Morgan	Accuracy	0.55222
Mono	IC	Cred	1	RandomForestClassifier	Morgan	Accuracy	0.51707
Mono	IC	Cred	3	RandomForestClassifier	Morgan	Accuracy	0.49904
Mono	IC	Cred	4	RandomForestClassifier	Morgan	Accuracy	0.5081
Mono	IC	Cred	2	RandomForestClassifier	Morgan	Accuracy	0.58808
Mono	IC	Card	0	RandomForestClassifier	Morgan	Accuracy	0.56291
Mono	IC	Card	1	RandomForestClassifier	Morgan	Accuracy	0.533
Mono	IC	Card	3	RandomForestClassifier	Morgan	Accuracy	0.45411
Mono	IC	Card	4	RandomForestClassifier	Morgan	Accuracy	0.54148
Mono	IC	Card	2	RandomForestClassifier	Morgan	Accuracy	0.59672
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	Accuracy	0.54814
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	Accuracy	0.5503
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	Accuracy	0.52247
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	Accuracy	0.56014
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	Accuracy	0.61658
Mono	IC	Cred	0	RandomForestClassifier	Morgan	Recall	0.5729
Mono	IC	Cred	1	RandomForestClassifier	Morgan	Recall	0.71971
Mono	IC	Cred	3	RandomForestClassifier	Morgan	Recall	0.5819
Mono	IC	Cred	4	RandomForestClassifier	Morgan	Recall	0.6698
Mono	IC	Cred	2	RandomForestClassifier	Morgan	Recall	0.73218
Mono	IC	Card	0	RandomForestClassifier	Morgan	Recall	0.60986
Mono	IC	Card	1	RandomForestClassifier	Morgan	Recall	0.73586
Mono	IC	Card	3	RandomForestClassifier	Morgan	Recall	0.53666
Mono	IC	Card	4	RandomForestClassifier	Morgan	Recall	0.71672
Mono	IC	Card	2	RandomForestClassifier	Morgan	Recall	0.81785
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	Recall	0.65667
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	Recall	0.83118
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	Recall	0.70359
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	Recall	0.80973
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	Recall	0.82001
Mono	IC	Cred	0	RandomForestClassifier	Morgan	Specificity	0.51844
Mono	IC	Cred	1	RandomForestClassifier	Morgan	Specificity	0.25547
Mono	IC	Cred	3	RandomForestClassifier	Morgan	Specificity	0.3679
Mono	IC	Cred	4	RandomForestClassifier	Morgan	Specificity	0.28902
Mono	IC	Cred	2	RandomForestClassifier	Morgan	Specificity	0.37217
Mono	IC	Card	0	RandomForestClassifier	Morgan	Specificity	0.48625
Mono	IC	Card	1	RandomForestClassifier	Morgan	Specificity	0.27112
Mono	IC	Card	3	RandomForestClassifier	Morgan	Specificity	0.32346
Mono	IC	Card	4	RandomForestClassifier	Morgan	Specificity	0.30405
Mono	IC	Card	2	RandomForestClassifier	Morgan	Specificity	0.26537
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	Specificity	0.37089
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	Specificity	0.1877
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	Specificity	0.2358
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	Specificity	0.22197
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	Specificity	0.31176
Mono	IC	Cred	0	RandomForestClassifier	Morgan	Precision	0.6602
Mono	IC	Cred	1	RandomForestClassifier	Morgan	Precision	0.55514
Mono	IC	Cred	3	RandomForestClassifier	Morgan	Precision	0.593
Mono	IC	Cred	4	RandomForestClassifier	Morgan	Precision	0.56071
Mono	IC	Cred	2	RandomForestClassifier	Morgan	Precision	0.63602
Mono	IC	Card	0	RandomForestClassifier	Morgan	Precision	0.65971
Mono	IC	Card	1	RandomForestClassifier	Morgan	Precision	0.56584
Mono	IC	Card	3	RandomForestClassifier	Morgan	Precision	0.55663
Mono	IC	Card	4	RandomForestClassifier	Morgan	Precision	0.58252
Mono	IC	Card	2	RandomForestClassifier	Morgan	Precision	0.62521
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	Precision	0.63027
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	Precision	0.56914
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	Precision	0.59303
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	Precision	0.58508
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	Precision	0.64097
Mono	IC	Cred	0	RandomForestClassifier	Morgan	PRC AUC	0.66225
Mono	IC	Cred	1	RandomForestClassifier	Morgan	PRC AUC	0.58103
Mono	IC	Cred	3	RandomForestClassifier	Morgan	PRC AUC	0.63996
Mono	IC	Cred	4	RandomForestClassifier	Morgan	PRC AUC	0.562
Mono	IC	Cred	2	RandomForestClassifier	Morgan	PRC AUC	0.65984
Mono	IC	Card	0	RandomForestClassifier	Morgan	PRC AUC	0.67153
Mono	IC	Card	1	RandomForestClassifier	Morgan	PRC AUC	0.58734
Mono	IC	Card	3	RandomForestClassifier	Morgan	PRC AUC	0.60126
Mono	IC	Card	4	RandomForestClassifier	Morgan	PRC AUC	0.58017
Mono	IC	Card	2	RandomForestClassifier	Morgan	PRC AUC	0.67171
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	PRC AUC	0.61725
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	PRC AUC	0.60582
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	PRC AUC	0.63622
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	PRC AUC	0.58009
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	PRC AUC	0.64083
Mono	IC	Cred	0	RandomForestClassifier	Morgan	ECE	0.10838
Mono	IC	Cred	1	RandomForestClassifier	Morgan	ECE	0.06317
Mono	IC	Cred	3	RandomForestClassifier	Morgan	ECE	0.10048
Mono	IC	Cred	4	RandomForestClassifier	Morgan	ECE	0.09066
Mono	IC	Cred	2	RandomForestClassifier	Morgan	ECE	0.06243
Mono	IC	Card	0	RandomForestClassifier	Morgan	ECE	0.10277
Mono	IC	Card	1	RandomForestClassifier	Morgan	ECE	0.05613
Mono	IC	Card	3	RandomForestClassifier	Morgan	ECE	0.14778
Mono	IC	Card	4	RandomForestClassifier	Morgan	ECE	0.09603
Mono	IC	Card	2	RandomForestClassifier	Morgan	ECE	0.02699
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	ECE	0.10551
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	ECE	0.02568
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	ECE	0.11909
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	ECE	0.04054
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	ECE	0.0595
Mono	IC	Cred	0	RandomForestClassifier	Morgan	Brier	0.24794
Mono	IC	Cred	1	RandomForestClassifier	Morgan	Brier	0.25192
Mono	IC	Cred	3	RandomForestClassifier	Morgan	Brier	0.2522
Mono	IC	Cred	4	RandomForestClassifier	Morgan	Brier	0.25469
Mono	IC	Cred	2	RandomForestClassifier	Morgan	Brier	0.23886
Mono	IC	Card	0	RandomForestClassifier	Morgan	Brier	0.24438
Mono	IC	Card	1	RandomForestClassifier	Morgan	Brier	0.24953
Mono	IC	Card	3	RandomForestClassifier	Morgan	Brier	0.26506
Mono	IC	Card	4	RandomForestClassifier	Morgan	Brier	0.25278
Mono	IC	Card	2	RandomForestClassifier	Morgan	Brier	0.23449
Mono	IC	Cvas	0	RandomForestClassifier	Morgan	Brier	0.25059
Mono	IC	Cvas	1	RandomForestClassifier	Morgan	Brier	0.24663
Mono	IC	Cvas	3	RandomForestClassifier	Morgan	Brier	0.25046
Mono	IC	Cvas	4	RandomForestClassifier	Morgan	Brier	0.24653
Mono	IC	Cvas	2	RandomForestClassifier	Morgan	Brier	0.23663
