Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cred	0	XGBClassifier	Klek	Balanced Accuracy	0.54078
Mono	IC	Cred	1	XGBClassifier	Klek	Balanced Accuracy	0.55383
Mono	IC	Cred	3	XGBClassifier	Klek	Balanced Accuracy	0.52692
Mono	IC	Cred	4	XGBClassifier	Klek	Balanced Accuracy	0.52344
Mono	IC	Cred	2	XGBClassifier	Klek	Balanced Accuracy	0.58348
Mono	IC	Card	0	XGBClassifier	Klek	Balanced Accuracy	0.5533
Mono	IC	Card	1	XGBClassifier	Klek	Balanced Accuracy	0.54715
Mono	IC	Card	3	XGBClassifier	Klek	Balanced Accuracy	0.50911
Mono	IC	Card	4	XGBClassifier	Klek	Balanced Accuracy	0.52057
Mono	IC	Card	2	XGBClassifier	Klek	Balanced Accuracy	0.58184
Mono	IC	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.53225
Mono	IC	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.51459
Mono	IC	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.52041
Mono	IC	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.53942
Mono	IC	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.57557
Mono	IC	Cred	0	XGBClassifier	Klek	GeomRS	0.53155
Mono	IC	Cred	1	XGBClassifier	Klek	GeomRS	0.53924
Mono	IC	Cred	3	XGBClassifier	Klek	GeomRS	0.52206
Mono	IC	Cred	4	XGBClassifier	Klek	GeomRS	0.46507
Mono	IC	Cred	2	XGBClassifier	Klek	GeomRS	0.55395
Mono	IC	Card	0	XGBClassifier	Klek	GeomRS	0.54863
Mono	IC	Card	1	XGBClassifier	Klek	GeomRS	0.53505
Mono	IC	Card	3	XGBClassifier	Klek	GeomRS	0.50678
Mono	IC	Card	4	XGBClassifier	Klek	GeomRS	0.47017
Mono	IC	Card	2	XGBClassifier	Klek	GeomRS	0.56091
Mono	IC	Cvas	0	XGBClassifier	Klek	GeomRS	0.50546
Mono	IC	Cvas	1	XGBClassifier	Klek	GeomRS	0.47158
Mono	IC	Cvas	3	XGBClassifier	Klek	GeomRS	0.49107
Mono	IC	Cvas	4	XGBClassifier	Klek	GeomRS	0.46828
Mono	IC	Cvas	2	XGBClassifier	Klek	GeomRS	0.54083
Mono	IC	Cred	0	XGBClassifier	Klek	HarmRS	0.52249
