Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.52294
Mono	ROR	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.54881
Mono	ROR	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.52102
Mono	ROR	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.55649
Mono	ROR	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.54256
Mono	ROR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.57326
Mono	ROR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.55754
Mono	ROR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.48107
Mono	ROR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.49077
Mono	ROR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.54902
Mono	ROR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.4525
Mono	ROR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.51788
Mono	ROR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.56138
Mono	ROR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.52529
Mono	ROR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.54709
Mono	ROR	Cred	0	LogisticRegression	CDDD	GeomRS	0.50185
Mono	ROR	Cred	1	LogisticRegression	CDDD	GeomRS	0.54155
Mono	ROR	Cred	3	LogisticRegression	CDDD	GeomRS	0.51515
Mono	ROR	Cred	4	LogisticRegression	CDDD	GeomRS	0.55611
Mono	ROR	Cred	2	LogisticRegression	CDDD	GeomRS	0.53812
Mono	ROR	Card	0	LogisticRegression	CDDD	GeomRS	0.56248
Mono	ROR	Card	1	LogisticRegression	CDDD	GeomRS	0.55738
Mono	ROR	Card	3	LogisticRegression	CDDD	GeomRS	0.47322
Mono	ROR	Card	4	LogisticRegression	CDDD	GeomRS	0.48045
Mono	ROR	Card	2	LogisticRegression	CDDD	GeomRS	0.54255
Mono	ROR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.45181
Mono	ROR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.5114
Mono	ROR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.55741
