Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	IC	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.54292
Primary	IC	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.50026
Primary	IC	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.51504
Primary	IC	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.51872
Primary	IC	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.54376
Primary	IC	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.56588
Primary	IC	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.50641
Primary	IC	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.51097
Primary	IC	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.51126
Primary	IC	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.51083
Primary	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.54605
Primary	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.49866
Primary	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.51476
Primary	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.52384
Primary	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.5172
Primary	IC	Cred	1	LogisticRegression	CDDD	GeomRS	0.54267
Primary	IC	Cred	0	LogisticRegression	CDDD	GeomRS	0.49091
Primary	IC	Cred	2	LogisticRegression	CDDD	GeomRS	0.51329
Primary	IC	Cred	3	LogisticRegression	CDDD	GeomRS	0.51252
Primary	IC	Cred	4	LogisticRegression	CDDD	GeomRS	0.52879
Primary	IC	Card	1	LogisticRegression	CDDD	GeomRS	0.56386
Primary	IC	Card	0	LogisticRegression	CDDD	GeomRS	0.49882
Primary	IC	Card	2	LogisticRegression	CDDD	GeomRS	0.50278
Primary	IC	Card	3	LogisticRegression	CDDD	GeomRS	0.50954
Primary	IC	Card	4	LogisticRegression	CDDD	GeomRS	0.49685
Primary	IC	Cvas	1	LogisticRegression	CDDD	GeomRS	0.54581
Primary	IC	Cvas	0	LogisticRegression	CDDD	GeomRS	0.49786
Primary	IC	Cvas	2	LogisticRegression	CDDD	GeomRS	0.50486
Primary	IC	Cvas	3	LogisticRegression	CDDD	GeomRS	0.51857
Primary	IC	Cvas	4	LogisticRegression	CDDD	GeomRS	0.51577
Primary	IC	Cred	1	LogisticRegression	CDDD	HarmRS	0.54242
Primary	IC	Cred	0	LogisticRegression	CDDD	HarmRS	0.48173
Primary	IC	Cred	2	LogisticRegression	CDDD	HarmRS	0.51154
Primary	IC	Cred	3	LogisticRegression	CDDD	HarmRS	0.50639
Primary	IC	Cred	4	LogisticRegression	CDDD	HarmRS	0.51423
Primary	IC	Card	1	LogisticRegression	CDDD	HarmRS	0.56185
Primary	IC	Card	0	LogisticRegression	CDDD	HarmRS	0.49135
Primary	IC	Card	2	LogisticRegression	CDDD	HarmRS	0.49472
Primary	IC	Card	3	LogisticRegression	CDDD	HarmRS	0.50783
Primary	IC	Card	4	LogisticRegression	CDDD	HarmRS	0.48325
Primary	IC	Cvas	1	LogisticRegression	CDDD	HarmRS	0.54556
Primary	IC	Cvas	0	LogisticRegression	CDDD	HarmRS	0.49706
Primary	IC	Cvas	2	LogisticRegression	CDDD	HarmRS	0.49515
Primary	IC	Cvas	3	LogisticRegression	CDDD	HarmRS	0.51336
Primary	IC	Cvas	4	LogisticRegression	CDDD	HarmRS	0.51433
Primary	IC	Cred	1	LogisticRegression	CDDD	F1 Score	0.55865
Primary	IC	Cred	0	LogisticRegression	CDDD	F1 Score	0.49537
Primary	IC	Cred	2	LogisticRegression	CDDD	F1 Score	0.59
Primary	IC	Cred	3	LogisticRegression	CDDD	F1 Score	0.52288
Primary	IC	Cred	4	LogisticRegression	CDDD	F1 Score	0.64044
Primary	IC	Card	1	LogisticRegression	CDDD	F1 Score	0.56554
Primary	IC	Card	0	LogisticRegression	CDDD	F1 Score	0.50869
Primary	IC	Card	2	LogisticRegression	CDDD	F1 Score	0.612
Primary	IC	Card	3	LogisticRegression	CDDD	F1 Score	0.54076
Primary	IC	Card	4	LogisticRegression	CDDD	F1 Score	0.60796
Primary	IC	Cvas	1	LogisticRegression	CDDD	F1 Score	0.57827
Primary	IC	Cvas	0	LogisticRegression	CDDD	F1 Score	0.5418
Primary	IC	Cvas	2	LogisticRegression	CDDD	F1 Score	0.6201
Primary	IC	Cvas	3	LogisticRegression	CDDD	F1 Score	0.62083
Primary	IC	Cvas	4	LogisticRegression	CDDD	F1 Score	0.57459
Primary	IC	Cred	1	LogisticRegression	CDDD	ROC AUC	0.54802
Primary	IC	Cred	0	LogisticRegression	CDDD	ROC AUC	0.4894
Primary	IC	Cred	2	LogisticRegression	CDDD	ROC AUC	0.5095
Primary	IC	Cred	3	LogisticRegression	CDDD	ROC AUC	0.52586
Primary	IC	Cred	4	LogisticRegression	CDDD	ROC AUC	0.5363
Primary	IC	Card	1	LogisticRegression	CDDD	ROC AUC	0.56846
Primary	IC	Card	0	LogisticRegression	CDDD	ROC AUC	0.50342
Primary	IC	Card	2	LogisticRegression	CDDD	ROC AUC	0.53679
Primary	IC	Card	3	LogisticRegression	CDDD	ROC AUC	0.52591
Primary	IC	Card	4	LogisticRegression	CDDD	ROC AUC	0.51119
Primary	IC	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.55455
Primary	IC	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.49809
Primary	IC	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.53262
Primary	IC	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.55583
Primary	IC	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.50361
Primary	IC	Cred	1	LogisticRegression	CDDD	MCC	0.08541
Primary	IC	Cred	0	LogisticRegression	CDDD	MCC	0.00051
Primary	IC	Cred	2	LogisticRegression	CDDD	MCC	0.02943
Primary	IC	Cred	3	LogisticRegression	CDDD	MCC	0.03664
Primary	IC	Cred	4	LogisticRegression	CDDD	MCC	0.08968
Primary	IC	Card	1	LogisticRegression	CDDD	MCC	0.1315
Primary	IC	Card	0	LogisticRegression	CDDD	MCC	0.01249
Primary	IC	Card	2	LogisticRegression	CDDD	MCC	0.02176
Primary	IC	Card	3	LogisticRegression	CDDD	MCC	0.02185
Primary	IC	Card	4	LogisticRegression	CDDD	MCC	0.02203
Primary	IC	Cvas	1	LogisticRegression	CDDD	MCC	0.09168
Primary	IC	Cvas	0	LogisticRegression	CDDD	MCC	-0.00258
Primary	IC	Cvas	2	LogisticRegression	CDDD	MCC	0.02938
Primary	IC	Cvas	3	LogisticRegression	CDDD	MCC	0.04673
Primary	IC	Cvas	4	LogisticRegression	CDDD	MCC	0.03408
