Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	IC	Cred	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.54651
Primary	IC	Cred	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.5631
Primary	IC	Cred	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.54846
Primary	IC	Cred	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.53175
Primary	IC	Cred	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.54441
Primary	IC	Card	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.54769
Primary	IC	Card	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.56056
Primary	IC	Card	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.54198
Primary	IC	Card	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.51894
Primary	IC	Card	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.53155
Primary	IC	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.53232
Primary	IC	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.54241
Primary	IC	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.52259
Primary	IC	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.52302
Primary	IC	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.52247
Primary	IC	Cred	1	RandomForestClassifier	RDKit	GeomRS	0.52215
Primary	IC	Cred	0	RandomForestClassifier	RDKit	GeomRS	0.55874
Primary	IC	Cred	2	RandomForestClassifier	RDKit	GeomRS	0.512
Primary	IC	Cred	3	RandomForestClassifier	RDKit	GeomRS	0.5255
Primary	IC	Cred	4	RandomForestClassifier	RDKit	GeomRS	0.50174
Primary	IC	Card	1	RandomForestClassifier	RDKit	GeomRS	0.51491
Primary	IC	Card	0	RandomForestClassifier	RDKit	GeomRS	0.54454
Primary	IC	Card	2	RandomForestClassifier	RDKit	GeomRS	0.50856
Primary	IC	Card	3	RandomForestClassifier	RDKit	GeomRS	0.49673
Primary	IC	Card	4	RandomForestClassifier	RDKit	GeomRS	0.44952
