Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.52247
Primary	ROR	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.43833
Primary	ROR	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.52294
Primary	ROR	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.47304
Primary	ROR	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.53122
Primary	ROR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.49112
Primary	ROR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.47423
Primary	ROR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.51189
Primary	ROR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.51978
Primary	ROR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.48847
Primary	ROR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.49861
Primary	ROR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.46685
Primary	ROR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.53233
Primary	ROR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.51451
Primary	ROR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.4866
Primary	ROR	Cred	1	LogisticRegression	CDDD	GeomRS	0.50174
Primary	ROR	Cred	0	LogisticRegression	CDDD	GeomRS	0.42603
Primary	ROR	Cred	3	LogisticRegression	CDDD	GeomRS	0.51237
Primary	ROR	Cred	2	LogisticRegression	CDDD	GeomRS	0.47069
Primary	ROR	Cred	4	LogisticRegression	CDDD	GeomRS	0.52089
Primary	ROR	Card	1	LogisticRegression	CDDD	GeomRS	0.48268
Primary	ROR	Card	0	LogisticRegression	CDDD	GeomRS	0.44854
Primary	ROR	Card	3	LogisticRegression	CDDD	GeomRS	0.48993
Primary	ROR	Card	2	LogisticRegression	CDDD	GeomRS	0.51887
Primary	ROR	Card	4	LogisticRegression	CDDD	GeomRS	0.46058
Primary	ROR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.49597
Primary	ROR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.45493
Primary	ROR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.5252
Primary	ROR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.51162
Primary	ROR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.42365
Primary	ROR	Cred	1	LogisticRegression	CDDD	HarmRS	0.48182
Primary	ROR	Cred	0	LogisticRegression	CDDD	HarmRS	0.41408
Primary	ROR	Cred	3	LogisticRegression	CDDD	HarmRS	0.50202
Primary	ROR	Cred	2	LogisticRegression	CDDD	HarmRS	0.46836
Primary	ROR	Cred	4	LogisticRegression	CDDD	HarmRS	0.51077
Primary	ROR	Card	1	LogisticRegression	CDDD	HarmRS	0.47439
Primary	ROR	Card	0	LogisticRegression	CDDD	HarmRS	0.42425
Primary	ROR	Card	3	LogisticRegression	CDDD	HarmRS	0.46892
Primary	ROR	Card	2	LogisticRegression	CDDD	HarmRS	0.51796
Primary	ROR	Card	4	LogisticRegression	CDDD	HarmRS	0.43428
Primary	ROR	Cvas	1	LogisticRegression	CDDD	HarmRS	0.49334
Primary	ROR	Cvas	0	LogisticRegression	CDDD	HarmRS	0.44332
Primary	ROR	Cvas	3	LogisticRegression	CDDD	HarmRS	0.51816
Primary	ROR	Cvas	2	LogisticRegression	CDDD	HarmRS	0.50875
Primary	ROR	Cvas	4	LogisticRegression	CDDD	HarmRS	0.36885
Primary	ROR	Cred	1	LogisticRegression	CDDD	F1 Score	0.44121
Primary	ROR	Cred	0	LogisticRegression	CDDD	F1 Score	0.40868
Primary	ROR	Cred	3	LogisticRegression	CDDD	F1 Score	0.49721
Primary	ROR	Cred	2	LogisticRegression	CDDD	F1 Score	0.47436
Primary	ROR	Cred	4	LogisticRegression	CDDD	F1 Score	0.48861
Primary	ROR	Card	1	LogisticRegression	CDDD	F1 Score	0.44062
Primary	ROR	Card	0	LogisticRegression	CDDD	F1 Score	0.40855
Primary	ROR	Card	3	LogisticRegression	CDDD	F1 Score	0.45312
Primary	ROR	Card	2	LogisticRegression	CDDD	F1 Score	0.53285
Primary	ROR	Card	4	LogisticRegression	CDDD	F1 Score	0.39905
Primary	ROR	Cvas	1	LogisticRegression	CDDD	F1 Score	0.47177
Primary	ROR	Cvas	0	LogisticRegression	CDDD	F1 Score	0.43957
Primary	ROR	Cvas	3	LogisticRegression	CDDD	F1 Score	0.51926
Primary	ROR	Cvas	2	LogisticRegression	CDDD	F1 Score	0.51334
Primary	ROR	Cvas	4	LogisticRegression	CDDD	F1 Score	0.33222
Primary	ROR	Cred	1	LogisticRegression	CDDD	ROC AUC	0.52577
Primary	ROR	Cred	0	LogisticRegression	CDDD	ROC AUC	0.41256
Primary	ROR	Cred	3	LogisticRegression	CDDD	ROC AUC	0.54627
Primary	ROR	Cred	2	LogisticRegression	CDDD	ROC AUC	0.45884
Primary	ROR	Cred	4	LogisticRegression	CDDD	ROC AUC	0.51799
Primary	ROR	Card	1	LogisticRegression	CDDD	ROC AUC	0.51125
Primary	ROR	Card	0	LogisticRegression	CDDD	ROC AUC	0.47206
Primary	ROR	Card	3	LogisticRegression	CDDD	ROC AUC	0.5318
Primary	ROR	Card	2	LogisticRegression	CDDD	ROC AUC	0.51857
Primary	ROR	Card	4	LogisticRegression	CDDD	ROC AUC	0.47478
Primary	ROR	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.5337
Primary	ROR	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.46724
Primary	ROR	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.5612
Primary	ROR	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.49069
Primary	ROR	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.47553
Primary	ROR	Cred	1	LogisticRegression	CDDD	MCC	0.04699
Primary	ROR	Cred	0	LogisticRegression	CDDD	MCC	-0.12418
Primary	ROR	Cred	3	LogisticRegression	CDDD	MCC	0.04615
Primary	ROR	Cred	2	LogisticRegression	CDDD	MCC	-0.05374
Primary	ROR	Cred	4	LogisticRegression	CDDD	MCC	0.06366
Primary	ROR	Card	1	LogisticRegression	CDDD	MCC	-0.01805
Primary	ROR	Card	0	LogisticRegression	CDDD	MCC	-0.05326
Primary	ROR	Card	3	LogisticRegression	CDDD	MCC	0.0245
Primary	ROR	Card	2	LogisticRegression	CDDD	MCC	0.03928
Primary	ROR	Card	4	LogisticRegression	CDDD	MCC	-0.02435
Primary	ROR	Cvas	1	LogisticRegression	CDDD	MCC	-0.00279
Primary	ROR	Cvas	0	LogisticRegression	CDDD	MCC	-0.06664
Primary	ROR	Cvas	3	LogisticRegression	CDDD	MCC	0.06459
