Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.56929
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.55366
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.52197
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.54833
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.557
Primary	ROR	Card	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.55284
Primary	ROR	Card	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.53246
Primary	ROR	Card	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.52551
Primary	ROR	Card	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.54539
Primary	ROR	Card	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.55313
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.51497
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.5469
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.51954
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.55173
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.51057
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.56718
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.54704
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.50092
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.53704
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.55088
Primary	ROR	Card	1	RandomForestClassifier	CDDD	GeomRS	0.5428
Primary	ROR	Card	0	RandomForestClassifier	CDDD	GeomRS	0.52561
Primary	ROR	Card	4	RandomForestClassifier	CDDD	GeomRS	0.51754
Primary	ROR	Card	2	RandomForestClassifier	CDDD	GeomRS	0.52708
Primary	ROR	Card	3	RandomForestClassifier	CDDD	GeomRS	0.55253
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.48728
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.5469
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.51281
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.53064
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.50735
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.56507
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.5405
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.48072
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.52598
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.54482
Primary	ROR	Card	1	RandomForestClassifier	CDDD	HarmRS	0.53293
Primary	ROR	Card	0	RandomForestClassifier	CDDD	HarmRS	0.51885
Primary	ROR	Card	4	RandomForestClassifier	CDDD	HarmRS	0.50969
Primary	ROR	Card	2	RandomForestClassifier	CDDD	HarmRS	0.5094
Primary	ROR	Card	3	RandomForestClassifier	CDDD	HarmRS	0.55193
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.46108
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.5469
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.50617
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.51037
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.50416
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.54734
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.54814
