Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51162
Primary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5114
Primary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52576
Primary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52477
Primary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.57368
Primary	ROR	Card	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50082
Primary	ROR	Card	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52501
Primary	ROR	Card	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54414
Primary	ROR	Card	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50804
Primary	ROR	Card	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55808
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53195
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52708
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54504
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5117
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52562
Primary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	GeomRS	0.49808
Primary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	GeomRS	0.51094
Primary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	GeomRS	0.52575
Primary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	GeomRS	0.51057
Primary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	GeomRS	0.56705
Primary	ROR	Card	3	RandomForestClassifier	ChemBERTa	GeomRS	0.49783
Primary	ROR	Card	0	RandomForestClassifier	ChemBERTa	GeomRS	0.52422
Primary	ROR	Card	2	RandomForestClassifier	ChemBERTa	GeomRS	0.54409
Primary	ROR	Card	4	RandomForestClassifier	ChemBERTa	GeomRS	0.50108
Primary	ROR	Card	1	RandomForestClassifier	ChemBERTa	GeomRS	0.5449
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.52475
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.5266
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.53937
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.50883
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.51469
Primary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	HarmRS	0.48491
