Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.53452
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.55826
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.54299
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.53453
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.5264
Primary	ROR	Card	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.53224
Primary	ROR	Card	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.53018
Primary	ROR	Card	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.51494
Primary	ROR	Card	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.54527
Primary	ROR	Card	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.50652
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.51793
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.5384
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.54276
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.53186
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.50434
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	GeomRS	0.53295
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	GeomRS	0.55822
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	GeomRS	0.52416
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	GeomRS	0.51715
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	GeomRS	0.47603
Primary	ROR	Card	1	RandomForestClassifier	RDKit	GeomRS	0.52692
Primary	ROR	Card	3	RandomForestClassifier	RDKit	GeomRS	0.52933
Primary	ROR	Card	0	RandomForestClassifier	RDKit	GeomRS	0.49041
Primary	ROR	Card	2	RandomForestClassifier	RDKit	GeomRS	0.54209
Primary	ROR	Card	4	RandomForestClassifier	RDKit	GeomRS	0.47114
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.51712
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.53752
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.53581
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	GeomRS	0.53147
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.47506
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	HarmRS	0.53139
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	HarmRS	0.55818
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	HarmRS	0.50598
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	HarmRS	0.50034
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	HarmRS	0.43048
Primary	ROR	Card	1	RandomForestClassifier	RDKit	HarmRS	0.52166
Primary	ROR	Card	3	RandomForestClassifier	RDKit	HarmRS	0.52849
Primary	ROR	Card	0	RandomForestClassifier	RDKit	HarmRS	0.46706
Primary	ROR	Card	2	RandomForestClassifier	RDKit	HarmRS	0.53893
Primary	ROR	Card	4	RandomForestClassifier	RDKit	HarmRS	0.43824
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	HarmRS	0.51631
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	HarmRS	0.53664
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	HarmRS	0.52894
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	HarmRS	0.53108
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	HarmRS	0.44749
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	F1 Score	0.51494
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	F1 Score	0.59295
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	F1 Score	0.49808
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	F1 Score	0.62801
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	F1 Score	0.63502
Primary	ROR	Card	1	RandomForestClassifier	RDKit	F1 Score	0.49452
Primary	ROR	Card	3	RandomForestClassifier	RDKit	F1 Score	0.55199
Primary	ROR	Card	0	RandomForestClassifier	RDKit	F1 Score	0.45411
Primary	ROR	Card	2	RandomForestClassifier	RDKit	F1 Score	0.60407
Primary	ROR	Card	4	RandomForestClassifier	RDKit	F1 Score	0.60468
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	F1 Score	0.5318
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	F1 Score	0.55985
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	F1 Score	0.53574
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	F1 Score	0.57256
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	F1 Score	0.59647
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	ROC AUC	0.55212
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	ROC AUC	0.56691
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	ROC AUC	0.57831
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	ROC AUC	0.56691
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	ROC AUC	0.54776
Primary	ROR	Card	1	RandomForestClassifier	RDKit	ROC AUC	0.54671
Primary	ROR	Card	3	RandomForestClassifier	RDKit	ROC AUC	0.53484
Primary	ROR	Card	0	RandomForestClassifier	RDKit	ROC AUC	0.54872
Primary	ROR	Card	2	RandomForestClassifier	RDKit	ROC AUC	0.55224
Primary	ROR	Card	4	RandomForestClassifier	RDKit	ROC AUC	0.53186
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	ROC AUC	0.5328
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	ROC AUC	0.55482
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	ROC AUC	0.56299
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	ROC AUC	0.52183
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	ROC AUC	0.53584
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	MCC	0.06927
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	MCC	0.11484
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	MCC	0.08738
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	MCC	0.07132
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	MCC	0.0591
Primary	ROR	Card	1	RandomForestClassifier	RDKit	MCC	0.06522
Primary	ROR	Card	3	RandomForestClassifier	RDKit	MCC	0.05956
Primary	ROR	Card	0	RandomForestClassifier	RDKit	MCC	0.03076
Primary	ROR	Card	2	RandomForestClassifier	RDKit	MCC	0.09054
Primary	ROR	Card	4	RandomForestClassifier	RDKit	MCC	0.01401
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	MCC	0.03591
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	MCC	0.07577
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	MCC	0.08482
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	MCC	0.06325
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	MCC	0.00921
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	Accuracy	0.53447
