Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.59369
Primary	ROR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.5462
Primary	ROR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.54758
Primary	ROR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.51847
Primary	ROR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.55846
Primary	ROR	Card	1	XGBClassifier	CDDD	Balanced Accuracy	0.56905
Primary	ROR	Card	0	XGBClassifier	CDDD	Balanced Accuracy	0.51621
Primary	ROR	Card	3	XGBClassifier	CDDD	Balanced Accuracy	0.54206
Primary	ROR	Card	4	XGBClassifier	CDDD	Balanced Accuracy	0.53166
Primary	ROR	Card	2	XGBClassifier	CDDD	Balanced Accuracy	0.54616
Primary	ROR	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.55659
Primary	ROR	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.54168
Primary	ROR	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.56911
Primary	ROR	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.52629
Primary	ROR	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.52804
Primary	ROR	Cred	1	XGBClassifier	CDDD	GeomRS	0.58418
Primary	ROR	Cred	0	XGBClassifier	CDDD	GeomRS	0.53304
Primary	ROR	Cred	3	XGBClassifier	CDDD	GeomRS	0.54454
Primary	ROR	Cred	4	XGBClassifier	CDDD	GeomRS	0.50624
Primary	ROR	Cred	2	XGBClassifier	CDDD	GeomRS	0.55837
Primary	ROR	Card	1	XGBClassifier	CDDD	GeomRS	0.56209
Primary	ROR	Card	0	XGBClassifier	CDDD	GeomRS	0.51547
Primary	ROR	Card	3	XGBClassifier	CDDD	GeomRS	0.52693
Primary	ROR	Card	4	XGBClassifier	CDDD	GeomRS	0.53118
Primary	ROR	Card	2	XGBClassifier	CDDD	GeomRS	0.54598
Primary	ROR	Cvas	1	XGBClassifier	CDDD	GeomRS	0.54989
Primary	ROR	Cvas	0	XGBClassifier	CDDD	GeomRS	0.5293
Primary	ROR	Cvas	3	XGBClassifier	CDDD	GeomRS	0.5474
Primary	ROR	Cvas	4	XGBClassifier	CDDD	GeomRS	0.52581
Primary	ROR	Cvas	2	XGBClassifier	CDDD	GeomRS	0.52778
Primary	ROR	Cred	1	XGBClassifier	CDDD	HarmRS	0.57482
Primary	ROR	Cred	0	XGBClassifier	CDDD	HarmRS	0.5202
Primary	ROR	Cred	3	XGBClassifier	CDDD	HarmRS	0.5415
Primary	ROR	Cred	4	XGBClassifier	CDDD	HarmRS	0.4943
Primary	ROR	Cred	2	XGBClassifier	CDDD	HarmRS	0.55828
Primary	ROR	Card	1	XGBClassifier	CDDD	HarmRS	0.55521
