Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.51819
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.51974
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.53429
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.52541
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.52227
Secondary	IC	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.51785
Secondary	IC	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.52376
Secondary	IC	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.55707
Secondary	IC	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.53079
Secondary	IC	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.53714
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	Balanced Accuracy	0.52984
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	Balanced Accuracy	0.51594
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	Balanced Accuracy	0.54884
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	Balanced Accuracy	0.52652
Secondary	IC	Cvas	2	RandomForestClassifier	Klek	Balanced Accuracy	0.54005
Secondary	IC	Cred	0	RandomForestClassifier	Klek	GeomRS	0.39328
Secondary	IC	Cred	3	RandomForestClassifier	Klek	GeomRS	0.42616
Secondary	IC	Cred	1	RandomForestClassifier	Klek	GeomRS	0.38786
Secondary	IC	Cred	4	RandomForestClassifier	Klek	GeomRS	0.32817
Secondary	IC	Cred	2	RandomForestClassifier	Klek	GeomRS	0.40803
Secondary	IC	Card	0	RandomForestClassifier	Klek	GeomRS	0.41752
Secondary	IC	Card	3	RandomForestClassifier	Klek	GeomRS	0.43189
Secondary	IC	Card	1	RandomForestClassifier	Klek	GeomRS	0.43738
Secondary	IC	Card	4	RandomForestClassifier	Klek	GeomRS	0.34499
Secondary	IC	Card	2	RandomForestClassifier	Klek	GeomRS	0.42975
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	GeomRS	0.44421
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	GeomRS	0.418
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	GeomRS	0.46677
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	GeomRS	0.32587
Secondary	IC	Cvas	2	RandomForestClassifier	Klek	GeomRS	0.43808
Secondary	IC	Cred	0	RandomForestClassifier	Klek	HarmRS	0.29849
Secondary	IC	Cred	3	RandomForestClassifier	Klek	HarmRS	0.34943
Secondary	IC	Cred	1	RandomForestClassifier	Klek	HarmRS	0.28156
Secondary	IC	Cred	4	RandomForestClassifier	Klek	HarmRS	0.20498
Secondary	IC	Cred	2	RandomForestClassifier	Klek	HarmRS	0.31878
Secondary	IC	Card	0	RandomForestClassifier	Klek	HarmRS	0.33663
Secondary	IC	Card	3	RandomForestClassifier	Klek	HarmRS	0.35614
Secondary	IC	Card	1	RandomForestClassifier	Klek	HarmRS	0.3434
Secondary	IC	Card	4	RandomForestClassifier	Klek	HarmRS	0.22424
Secondary	IC	Card	2	RandomForestClassifier	Klek	HarmRS	0.34384
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	HarmRS	0.37242
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	HarmRS	0.33865
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	HarmRS	0.39697
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	HarmRS	0.20168
Secondary	IC	Cvas	2	RandomForestClassifier	Klek	HarmRS	0.35536
Secondary	IC	Cred	0	RandomForestClassifier	Klek	F1 Score	0.76323
Secondary	IC	Cred	3	RandomForestClassifier	Klek	F1 Score	0.74608
Secondary	IC	Cred	1	RandomForestClassifier	Klek	F1 Score	0.72868
Secondary	IC	Cred	4	RandomForestClassifier	Klek	F1 Score	0.7634
Secondary	IC	Cred	2	RandomForestClassifier	Klek	F1 Score	0.7336
Secondary	IC	Card	0	RandomForestClassifier	Klek	F1 Score	0.75058
Secondary	IC	Card	3	RandomForestClassifier	Klek	F1 Score	0.74853
Secondary	IC	Card	1	RandomForestClassifier	Klek	F1 Score	0.73813
Secondary	IC	Card	4	RandomForestClassifier	Klek	F1 Score	0.76485
Secondary	IC	Card	2	RandomForestClassifier	Klek	F1 Score	0.74308
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	F1 Score	0.7522
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	F1 Score	0.74529
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	F1 Score	0.71383
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	F1 Score	0.76521
Secondary	IC	Cvas	2	RandomForestClassifier	Klek	F1 Score	0.74292
Secondary	IC	Cred	0	RandomForestClassifier	Klek	ROC AUC	0.57473
Secondary	IC	Cred	3	RandomForestClassifier	Klek	ROC AUC	0.59719
Secondary	IC	Cred	1	RandomForestClassifier	Klek	ROC AUC	0.6233
Secondary	IC	Cred	4	RandomForestClassifier	Klek	ROC AUC	0.62632
Secondary	IC	Cred	2	RandomForestClassifier	Klek	ROC AUC	0.61209
Secondary	IC	Card	0	RandomForestClassifier	Klek	ROC AUC	0.57502
Secondary	IC	Card	3	RandomForestClassifier	Klek	ROC AUC	0.60199
Secondary	IC	Card	1	RandomForestClassifier	Klek	ROC AUC	0.63431
Secondary	IC	Card	4	RandomForestClassifier	Klek	ROC AUC	0.62821
Secondary	IC	Card	2	RandomForestClassifier	Klek	ROC AUC	0.62297
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	ROC AUC	0.58165
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	ROC AUC	0.60494
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	ROC AUC	0.62655
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	ROC AUC	0.60487
Secondary	IC	Cvas	2	RandomForestClassifier	Klek	ROC AUC	0.62793
Secondary	IC	Cred	0	RandomForestClassifier	Klek	MCC	0.04678
Secondary	IC	Cred	3	RandomForestClassifier	Klek	MCC	0.04661
Secondary	IC	Cred	1	RandomForestClassifier	Klek	MCC	0.10147
Secondary	IC	Cred	4	RandomForestClassifier	Klek	MCC	0.08886
Secondary	IC	Cred	2	RandomForestClassifier	Klek	MCC	0.0574
Secondary	IC	Card	0	RandomForestClassifier	Klek	MCC	0.04271
Secondary	IC	Card	3	RandomForestClassifier	Klek	MCC	0.05611
Secondary	IC	Card	1	RandomForestClassifier	Klek	MCC	0.15954
Secondary	IC	Card	4	RandomForestClassifier	Klek	MCC	0.10456
Secondary	IC	Card	2	RandomForestClassifier	Klek	MCC	0.09574
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	MCC	0.06957
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	MCC	0.0379
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	MCC	0.11949
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	MCC	0.09462
Secondary	IC	Cvas	2	RandomForestClassifier	Klek	MCC	0.10192
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Accuracy	0.6393
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Accuracy	0.6242
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Accuracy	0.60219
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Accuracy	0.63355
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Accuracy	0.60952
Secondary	IC	Card	0	RandomForestClassifier	Klek	Accuracy	0.62781
Secondary	IC	Card	3	RandomForestClassifier	Klek	Accuracy	0.62778
Secondary	IC	Card	1	RandomForestClassifier	Klek	Accuracy	0.62082
Secondary	IC	Card	4	RandomForestClassifier	Klek	Accuracy	0.6371
Secondary	IC	Card	2	RandomForestClassifier	Klek	Accuracy	0.62337
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	Accuracy	0.63351
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	Accuracy	0.62212
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	Accuracy	0.60219
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	Accuracy	0.63552
Secondary	IC	Cvas	2	RandomForestClassifier	Klek	Accuracy	0.62457
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Recall	0.8556
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Recall	0.81727
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Recall	0.90175
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Recall	0.93573
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Recall	0.84827
Secondary	IC	Card	0	RandomForestClassifier	Klek	Recall	0.82419
Secondary	IC	Card	3	RandomForestClassifier	Klek	Recall	0.82006
Secondary	IC	Card	1	RandomForestClassifier	Klek	Recall	0.90208
Secondary	IC	Card	4	RandomForestClassifier	Klek	Recall	0.93417
Secondary	IC	Card	2	RandomForestClassifier	Klek	Recall	0.85936
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	Recall	0.81865
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	Recall	0.81839
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	Recall	0.83755
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	Recall	0.94009
Secondary	IC	Cvas	2	RandomForestClassifier	Klek	Recall	0.85588
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Specificity	0.18078
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Specificity	0.22222
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Specificity	0.16682
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Specificity	0.1151
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Specificity	0.19627
Secondary	IC	Card	0	RandomForestClassifier	Klek	Specificity	0.21151
Secondary	IC	Card	3	RandomForestClassifier	Klek	Specificity	0.22746
Secondary	IC	Card	1	RandomForestClassifier	Klek	Specificity	0.21206
Secondary	IC	Card	4	RandomForestClassifier	Klek	Specificity	0.12741
Secondary	IC	Card	2	RandomForestClassifier	Klek	Specificity	0.21491
Secondary	IC	Cvas	0	RandomForestClassifier	Klek	Specificity	0.24104
Secondary	IC	Cvas	3	RandomForestClassifier	Klek	Specificity	0.2135
Secondary	IC	Cvas	1	RandomForestClassifier	Klek	Specificity	0.26013
Secondary	IC	Cvas	4	RandomForestClassifier	Klek	Specificity	0.11296
