Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.55172
Secondary	PRR	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.53209
Secondary	PRR	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.58767
Secondary	PRR	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.51413
Secondary	PRR	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.53893
Secondary	PRR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.51317
Secondary	PRR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.51475
Secondary	PRR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.59649
Secondary	PRR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.51943
Secondary	PRR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.55359
Secondary	PRR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.53145
Secondary	PRR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.54047
Secondary	PRR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.57139
Secondary	PRR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.52209
Secondary	PRR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.53409
Secondary	PRR	Cred	0	LogisticRegression	CDDD	GeomRS	0.55154
Secondary	PRR	Cred	3	LogisticRegression	CDDD	GeomRS	0.52561
Secondary	PRR	Cred	1	LogisticRegression	CDDD	GeomRS	0.58762
Secondary	PRR	Cred	2	LogisticRegression	CDDD	GeomRS	0.51395
Secondary	PRR	Cred	4	LogisticRegression	CDDD	GeomRS	0.53826
Secondary	PRR	Card	0	LogisticRegression	CDDD	GeomRS	0.48514
Secondary	PRR	Card	3	LogisticRegression	CDDD	GeomRS	0.51236
Secondary	PRR	Card	1	LogisticRegression	CDDD	GeomRS	0.59641
Secondary	PRR	Card	2	LogisticRegression	CDDD	GeomRS	0.50243
Secondary	PRR	Card	4	LogisticRegression	CDDD	GeomRS	0.55134
Secondary	PRR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.53003
Secondary	PRR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.54037
Secondary	PRR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.57043
Secondary	PRR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.52133
Secondary	PRR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.53323
Secondary	PRR	Cred	0	LogisticRegression	CDDD	HarmRS	0.55135
Secondary	PRR	Cred	3	LogisticRegression	CDDD	HarmRS	0.5192
Secondary	PRR	Cred	1	LogisticRegression	CDDD	HarmRS	0.58757
Secondary	PRR	Cred	2	LogisticRegression	CDDD	HarmRS	0.51377
Secondary	PRR	Cred	4	LogisticRegression	CDDD	HarmRS	0.53758
Secondary	PRR	Card	0	LogisticRegression	CDDD	HarmRS	0.45864
Secondary	PRR	Card	3	LogisticRegression	CDDD	HarmRS	0.50998
Secondary	PRR	Card	1	LogisticRegression	CDDD	HarmRS	0.59633
Secondary	PRR	Card	2	LogisticRegression	CDDD	HarmRS	0.48598
Secondary	PRR	Card	4	LogisticRegression	CDDD	HarmRS	0.5491
Secondary	PRR	Cvas	0	LogisticRegression	CDDD	HarmRS	0.52862
Secondary	PRR	Cvas	3	LogisticRegression	CDDD	HarmRS	0.54027
Secondary	PRR	Cvas	1	LogisticRegression	CDDD	HarmRS	0.56949
Secondary	PRR	Cvas	2	LogisticRegression	CDDD	HarmRS	0.52057
Secondary	PRR	Cvas	4	LogisticRegression	CDDD	HarmRS	0.53237
Secondary	PRR	Cred	0	LogisticRegression	CDDD	F1 Score	0.61689
Secondary	PRR	Cred	3	LogisticRegression	CDDD	F1 Score	0.54984
Secondary	PRR	Cred	1	LogisticRegression	CDDD	F1 Score	0.62408
Secondary	PRR	Cred	2	LogisticRegression	CDDD	F1 Score	0.5811
Secondary	PRR	Cred	4	LogisticRegression	CDDD	F1 Score	0.58017
Secondary	PRR	Card	0	LogisticRegression	CDDD	F1 Score	0.6842
Secondary	PRR	Card	3	LogisticRegression	CDDD	F1 Score	0.55565
Secondary	PRR	Card	1	LogisticRegression	CDDD	F1 Score	0.63163
Secondary	PRR	Card	2	LogisticRegression	CDDD	F1 Score	0.64961
Secondary	PRR	Card	4	LogisticRegression	CDDD	F1 Score	0.63765
Secondary	PRR	Cvas	0	LogisticRegression	CDDD	F1 Score	0.63027
Secondary	PRR	Cvas	3	LogisticRegression	CDDD	F1 Score	0.60723
Secondary	PRR	Cvas	1	LogisticRegression	CDDD	F1 Score	0.59466
Secondary	PRR	Cvas	2	LogisticRegression	CDDD	F1 Score	0.59722
Secondary	PRR	Cvas	4	LogisticRegression	CDDD	F1 Score	0.60899
Secondary	PRR	Cred	0	LogisticRegression	CDDD	ROC AUC	0.55827
Secondary	PRR	Cred	3	LogisticRegression	CDDD	ROC AUC	0.56379
Secondary	PRR	Cred	1	LogisticRegression	CDDD	ROC AUC	0.61058
Secondary	PRR	Cred	2	LogisticRegression	CDDD	ROC AUC	0.5359
Secondary	PRR	Cred	4	LogisticRegression	CDDD	ROC AUC	0.55256
Secondary	PRR	Card	0	LogisticRegression	CDDD	ROC AUC	0.5239
Secondary	PRR	Card	3	LogisticRegression	CDDD	ROC AUC	0.53788
Secondary	PRR	Card	1	LogisticRegression	CDDD	ROC AUC	0.6154
Secondary	PRR	Card	2	LogisticRegression	CDDD	ROC AUC	0.5403
