Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	XGBClassifier	Klek	Balanced Accuracy	0.55637
Secondary	PRR	Cred	3	XGBClassifier	Klek	Balanced Accuracy	0.57756
Secondary	PRR	Cred	1	XGBClassifier	Klek	Balanced Accuracy	0.57634
Secondary	PRR	Cred	2	XGBClassifier	Klek	Balanced Accuracy	0.57393
Secondary	PRR	Cred	4	XGBClassifier	Klek	Balanced Accuracy	0.57337
Secondary	PRR	Card	0	XGBClassifier	Klek	Balanced Accuracy	0.55181
Secondary	PRR	Card	3	XGBClassifier	Klek	Balanced Accuracy	0.57156
Secondary	PRR	Card	1	XGBClassifier	Klek	Balanced Accuracy	0.57823
Secondary	PRR	Card	2	XGBClassifier	Klek	Balanced Accuracy	0.5717
Secondary	PRR	Card	4	XGBClassifier	Klek	Balanced Accuracy	0.56096
Secondary	PRR	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.55647
Secondary	PRR	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.54404
Secondary	PRR	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.58181
Secondary	PRR	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.54212
Secondary	PRR	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.5488
Secondary	PRR	Cred	0	XGBClassifier	Klek	GeomRS	0.55504
Secondary	PRR	Cred	3	XGBClassifier	Klek	GeomRS	0.5725
Secondary	PRR	Cred	1	XGBClassifier	Klek	GeomRS	0.57622
Secondary	PRR	Cred	2	XGBClassifier	Klek	GeomRS	0.57393
Secondary	PRR	Cred	4	XGBClassifier	Klek	GeomRS	0.57115
Secondary	PRR	Card	0	XGBClassifier	Klek	GeomRS	0.55159
Secondary	PRR	Card	3	XGBClassifier	Klek	GeomRS	0.56897
Secondary	PRR	Card	1	XGBClassifier	Klek	GeomRS	0.57745
Secondary	PRR	Card	2	XGBClassifier	Klek	GeomRS	0.56897
Secondary	PRR	Card	4	XGBClassifier	Klek	GeomRS	0.55519
Secondary	PRR	Cvas	0	XGBClassifier	Klek	GeomRS	0.55585
Secondary	PRR	Cvas	3	XGBClassifier	Klek	GeomRS	0.54208
Secondary	PRR	Cvas	1	XGBClassifier	Klek	GeomRS	0.58181
Secondary	PRR	Cvas	2	XGBClassifier	Klek	GeomRS	0.52185
Secondary	PRR	Cvas	4	XGBClassifier	Klek	GeomRS	0.54273
Secondary	PRR	Cred	0	XGBClassifier	Klek	HarmRS	0.55372
Secondary	PRR	Cred	3	XGBClassifier	Klek	HarmRS	0.56748
Secondary	PRR	Cred	1	XGBClassifier	Klek	HarmRS	0.57609
Secondary	PRR	Cred	2	XGBClassifier	Klek	HarmRS	0.57392
