Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	ROR	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.52654
Secondary	ROR	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.5469
Secondary	ROR	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.49222
Secondary	ROR	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.514
Secondary	ROR	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.48193
Secondary	ROR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.55266
Secondary	ROR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.55088
Secondary	ROR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.50144
Secondary	ROR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.49903
Secondary	ROR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.52334
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.53585
Secondary	ROR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.53171
Secondary	ROR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.53801
Secondary	ROR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.49224
Secondary	ROR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.49284
Secondary	ROR	Cred	0	LogisticRegression	CDDD	GeomRS	0.5263
Secondary	ROR	Cred	1	LogisticRegression	CDDD	GeomRS	0.53502
Secondary	ROR	Cred	3	LogisticRegression	CDDD	GeomRS	0.45696
Secondary	ROR	Cred	2	LogisticRegression	CDDD	GeomRS	0.51272
Secondary	ROR	Cred	4	LogisticRegression	CDDD	GeomRS	0.47566
Secondary	ROR	Card	0	LogisticRegression	CDDD	GeomRS	0.54679
Secondary	ROR	Card	1	LogisticRegression	CDDD	GeomRS	0.53954
Secondary	ROR	Card	3	LogisticRegression	CDDD	GeomRS	0.47517
Secondary	ROR	Card	2	LogisticRegression	CDDD	GeomRS	0.49781
Secondary	ROR	Card	4	LogisticRegression	CDDD	GeomRS	0.5172
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.52819
Secondary	ROR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.50785
Secondary	ROR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.51107
Secondary	ROR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.48553
Secondary	ROR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.47525
Secondary	ROR	Cred	0	LogisticRegression	CDDD	HarmRS	0.52606
Secondary	ROR	Cred	1	LogisticRegression	CDDD	HarmRS	0.52339
Secondary	ROR	Cred	3	LogisticRegression	CDDD	HarmRS	0.42422
Secondary	ROR	Cred	2	LogisticRegression	CDDD	HarmRS	0.51145
Secondary	ROR	Cred	4	LogisticRegression	CDDD	HarmRS	0.46947
Secondary	ROR	Card	0	LogisticRegression	CDDD	HarmRS	0.541
Secondary	ROR	Card	1	LogisticRegression	CDDD	HarmRS	0.52844
Secondary	ROR	Card	3	LogisticRegression	CDDD	HarmRS	0.45028
Secondary	ROR	Card	2	LogisticRegression	CDDD	HarmRS	0.4966
Secondary	ROR	Card	4	LogisticRegression	CDDD	HarmRS	0.51114
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	HarmRS	0.52063
Secondary	ROR	Cvas	1	LogisticRegression	CDDD	HarmRS	0.48507
Secondary	ROR	Cvas	3	LogisticRegression	CDDD	HarmRS	0.48548
Secondary	ROR	Cvas	2	LogisticRegression	CDDD	HarmRS	0.47893
Secondary	ROR	Cvas	4	LogisticRegression	CDDD	HarmRS	0.45828
Secondary	ROR	Cred	0	LogisticRegression	CDDD	F1 Score	0.57002
Secondary	ROR	Cred	1	LogisticRegression	CDDD	F1 Score	0.496
Secondary	ROR	Cred	3	LogisticRegression	CDDD	F1 Score	0.40882
Secondary	ROR	Cred	2	LogisticRegression	CDDD	F1 Score	0.52187
Secondary	ROR	Cred	4	LogisticRegression	CDDD	F1 Score	0.46336
Secondary	ROR	Card	0	LogisticRegression	CDDD	F1 Score	0.55645
Secondary	ROR	Card	1	LogisticRegression	CDDD	F1 Score	0.50176
Secondary	ROR	Card	3	LogisticRegression	CDDD	F1 Score	0.43938
Secondary	ROR	Card	2	LogisticRegression	CDDD	F1 Score	0.50722
Secondary	ROR	Card	4	LogisticRegression	CDDD	F1 Score	0.50657
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	F1 Score	0.53194
Secondary	ROR	Cvas	1	LogisticRegression	CDDD	F1 Score	0.45033
Secondary	ROR	Cvas	3	LogisticRegression	CDDD	F1 Score	0.476
Secondary	ROR	Cvas	2	LogisticRegression	CDDD	F1 Score	0.47099
Secondary	ROR	Cvas	4	LogisticRegression	CDDD	F1 Score	0.4381
Secondary	ROR	Cred	0	LogisticRegression	CDDD	ROC AUC	0.53664
Secondary	ROR	Cred	1	LogisticRegression	CDDD	ROC AUC	0.54362
Secondary	ROR	Cred	3	LogisticRegression	CDDD	ROC AUC	0.51479
Secondary	ROR	Cred	2	LogisticRegression	CDDD	ROC AUC	0.52193
Secondary	ROR	Cred	4	LogisticRegression	CDDD	ROC AUC	0.51227
Secondary	ROR	Card	0	LogisticRegression	CDDD	ROC AUC	0.56089
Secondary	ROR	Card	1	LogisticRegression	CDDD	ROC AUC	0.54545
Secondary	ROR	Card	3	LogisticRegression	CDDD	ROC AUC	0.51315
Secondary	ROR	Card	2	LogisticRegression	CDDD	ROC AUC	0.52351
Secondary	ROR	Card	4	LogisticRegression	CDDD	ROC AUC	0.53146
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.54022
Secondary	ROR	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.52027
Secondary	ROR	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.5477
Secondary	ROR	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.50815
Secondary	ROR	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.50747
Secondary	ROR	Cred	0	LogisticRegression	CDDD	MCC	0.05155
Secondary	ROR	Cred	1	LogisticRegression	CDDD	MCC	0.09616
Secondary	ROR	Cred	3	LogisticRegression	CDDD	MCC	-0.0163
Secondary	ROR	Cred	2	LogisticRegression	CDDD	MCC	0.02787
Secondary	ROR	Cred	4	LogisticRegression	CDDD	MCC	-0.03631
Secondary	ROR	Card	0	LogisticRegression	CDDD	MCC	0.10321
Secondary	ROR	Card	1	LogisticRegression	CDDD	MCC	0.1042
Secondary	ROR	Card	3	LogisticRegression	CDDD	MCC	0.00296
Secondary	ROR	Card	2	LogisticRegression	CDDD	MCC	-0.00192
Secondary	ROR	Card	4	LogisticRegression	CDDD	MCC	0.04685
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	MCC	0.07058
Secondary	ROR	Cvas	1	LogisticRegression	CDDD	MCC	0.06672
Secondary	ROR	Cvas	3	LogisticRegression	CDDD	MCC	0.07808
Secondary	ROR	Cvas	2	LogisticRegression	CDDD	MCC	-0.01563
Secondary	ROR	Cvas	4	LogisticRegression	CDDD	MCC	-0.01471
Secondary	ROR	Cred	0	LogisticRegression	CDDD	Accuracy	0.52274
Secondary	ROR	Cred	1	LogisticRegression	CDDD	Accuracy	0.54254
Secondary	ROR	Cred	3	LogisticRegression	CDDD	Accuracy	0.45028
Secondary	ROR	Cred	2	LogisticRegression	CDDD	Accuracy	0.50965
Secondary	ROR	Cred	4	LogisticRegression	CDDD	Accuracy	0.47209
Secondary	ROR	Card	0	LogisticRegression	CDDD	Accuracy	0.53347
Secondary	ROR	Card	1	LogisticRegression	CDDD	Accuracy	0.5466
Secondary	ROR	Card	3	LogisticRegression	CDDD	Accuracy	0.46473
Secondary	ROR	Card	2	LogisticRegression	CDDD	Accuracy	0.49484
Secondary	ROR	Card	4	LogisticRegression	CDDD	Accuracy	0.51319
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	Accuracy	0.51427
Secondary	ROR	Cvas	1	LogisticRegression	CDDD	Accuracy	0.52565
Secondary	ROR	Cvas	3	LogisticRegression	CDDD	Accuracy	0.49948
Secondary	ROR	Cvas	2	LogisticRegression	CDDD	Accuracy	0.4825
Secondary	ROR	Cvas	4	LogisticRegression	CDDD	Accuracy	0.47626
Secondary	ROR	Cred	0	LogisticRegression	CDDD	Recall	0.51065
Secondary	ROR	Cred	1	LogisticRegression	CDDD	Recall	0.43351
Secondary	ROR	Cred	3	LogisticRegression	CDDD	Recall	0.30926
Secondary	ROR	Cred	2	LogisticRegression	CDDD	Recall	0.47777
Secondary	ROR	Cred	4	LogisticRegression	CDDD	Recall	0.40445
Secondary	ROR	Card	0	LogisticRegression	CDDD	Recall	0.47238
Secondary	ROR	Card	1	LogisticRegression	CDDD	Recall	0.43969
Secondary	ROR	Card	3	LogisticRegression	CDDD	Recall	0.34128
Secondary	ROR	Card	2	LogisticRegression	CDDD	Recall	0.46416
Secondary	ROR	Card	4	LogisticRegression	CDDD	Recall	0.44345
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	Recall	0.44554
Secondary	ROR	Cvas	1	LogisticRegression	CDDD	Recall	0.37423
Secondary	ROR	Cvas	3	LogisticRegression	CDDD	Recall	0.36989
Secondary	ROR	Cvas	2	LogisticRegression	CDDD	Recall	0.41129
Secondary	ROR	Cvas	4	LogisticRegression	CDDD	Recall	0.36232
Secondary	ROR	Cred	0	LogisticRegression	CDDD	Specificity	0.54243
Secondary	ROR	Cred	1	LogisticRegression	CDDD	Specificity	0.66029
Secondary	ROR	Cred	3	LogisticRegression	CDDD	Specificity	0.67518
Secondary	ROR	Cred	2	LogisticRegression	CDDD	Specificity	0.55023
Secondary	ROR	Cred	4	LogisticRegression	CDDD	Specificity	0.55942
Secondary	ROR	Card	0	LogisticRegression	CDDD	Specificity	0.63293
Secondary	ROR	Card	1	LogisticRegression	CDDD	Specificity	0.66207
Secondary	ROR	Card	3	LogisticRegression	CDDD	Specificity	0.6616
Secondary	ROR	Card	2	LogisticRegression	CDDD	Specificity	0.53391
Secondary	ROR	Card	4	LogisticRegression	CDDD	Specificity	0.60322
Secondary	ROR	Cvas	0	LogisticRegression	CDDD	Specificity	0.62616
