Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.497
Secondary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52461
Secondary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51535
Secondary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.48718
Secondary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.49484
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.49584
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51574
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53118
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50091
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.48402
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.4691
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51521
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.48791
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.47112
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.47548
Secondary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	GeomRS	0.49469
Secondary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	GeomRS	0.51211
Secondary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	GeomRS	0.48203
Secondary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	GeomRS	0.47318
Secondary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	GeomRS	0.48666
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	GeomRS	0.49425
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	GeomRS	0.49316
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	GeomRS	0.49015
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	GeomRS	0.49966
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	GeomRS	0.46176
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.46574
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.50105
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.43019
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.45951
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.44561
Secondary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	HarmRS	0.49239
Secondary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	HarmRS	0.4999
Secondary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	HarmRS	0.45087
Secondary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	HarmRS	0.45959
Secondary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	HarmRS	0.47861
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	HarmRS	0.49267
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	HarmRS	0.47157
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	HarmRS	0.45229
